OBJECTID,FarmNum,PondArea,PresAbs,PondNum,ShapeArea,PondLong,PondLat
40,27,38.20290807,1,90,0.038202908,464412.592253599,3580417.60415537
41,27,43.53301976,1,89,0.04353302,464316.803737153,3580535.99513693
42,27,63.16956422,0,108,0.063169564,464976.208661448,3580564.75797123
43,27,67.64483973,1,107,0.06764484,464782.362225745,3580549.99980485
44,27,40.31259819,1,88,0.040312598,464263.600422877,3580706.77853622
45,27,87.16532192,1,109,0.087165322,465264.737067270,3580671.06712839
46,27,60.07728668,0,106,0.060077287,464558.193748961,3580768.33642169
47,27,37.7459255,0,87,0.037745926,464172.307458814,3580887.43027492
48,27,38.90237369,1,110,0.038902374,465277.650861531,3580940.71553356
49,27,16.90703545,0,85,0.016907035,463899.393597385,3580990.77452757
50,27,41.42061712,1,105,0.041420617,464429.069674796,3581025.48127505
51,27,65.52416646,1,86,0.065524166,464050.407224049,3581102.30208489
52,27,61.77768255,0,112,0.061777683,464961.182496455,3581168.79356663
53,27,66.46562847,0,104,0.066465628,464593.965634198,3581206.14932106
54,27,41.80323967,0,111,0.04180324,465184.935938087,3581188.75582508
55,27,44.32548175,1,103,0.044325482,464287.126823527,3581242.77063962
56,27,25.09145986,0,101,0.02509146,464412.265339130,3581383.75154145
57,27,47.0294063,1,68,0.047029406,465990.776086508,3581381.06786789
58,27,59.48545412,1,84,0.059485454,463923.706045964,3581380.14114970
59,27,50.01541694,0,102,0.050015417,464672.319643050,3581467.08462090
60,27,26.27291613,0,64,0.026272916,465520.551564296,3581533.12472557
61,27,39.91903829,0,67,0.039919038,466165.755164588,3581525.56633002
62,27,27.94527749,0,66,0.027945277,465958.186366380,3581585.87398039
63,27,53.14767072,0,100,0.053147671,464159.745717062,3581505.98208013
64,27,13.80710024,0,63,0.0138071,465361.660644504,3581664.29648316
65,27,21.81633805,0,61,0.021816338,465952.884030071,3581708.56100319
66,27,48.05516165,0,65,0.048055162,465613.733702270,3581667.10239028
67,27,50.44085644,1,83,0.050440856,463811.417707496,3581645.12711736
68,27,49.01804748,0,116,0.049018047,464270.438251726,3581685.35691779
69,27,34.54341698,0,60,0.034543417,465701.477357526,3581787.03992905
70,27,37.20346644,0,99,0.037203466,464010.777479742,3581764.62480234
71,27,36.43115972,1,58,0.03643116,466179.813162548,3581777.87545276
72,27,36.88775194,0,57,0.036887752,465989.243796871,3581849.06817984
73,27,44.04749329,0,115,0.044047493,464400.231381061,3581850.74979030
74,27,30.56631798,0,59,0.030566318,465433.457115030,3581890.06154843
75,27,31.09092438,0,62,0.031090924,465234.065971831,3581883.56782856
76,27,40.97931881,0,56,0.040979319,465734.799969829,3581935.00151319
77,27,47.40840642,1,82,0.047408406,463690.888772086,3581954.29302491
78,27,52.70891486,0,114,0.052708915,464538.289504012,3582046.66003861
79,27,39.07754442,0,55,0.039077544,465485.926312036,3582031.62652864
80,27,27.11376648,1,80,0.027113766,463385.214671933,3582049.09436203
81,27,47.73486118,0,98,0.047734861,463906.596210222,3582055.94927124
82,27,33.24557153,0,113,0.033245572,464457.740392919,3582220.74908595
83,27,34.66110523,1,54,0.034661105,465209.678863391,3582178.36754867
84,27,23.86775605,0,79,0.023867756,463319.091123925,3582244.72766506
85,27,12.89517876,0,96,0.012895179,464198.549593581,3582286.99024977
86,27,50.44180687,0,81,0.050441807,463555.521003929,3582229.59857745
87,27,64.2785146,1,97,0.064278515,464037.812935692,3582270.51097088
88,27,46.93573425,0,93,0.046935734,463778.646549027,3582333.62281459
89,27,28.6192767,0,94,0.028619277,463881.653582682,3582496.41275854
90,27,76.20019703,0,53,0.076200197,464923.970519347,3582452.88480168
91,27,38.62409455,0,78,0.038624095,463430.284259644,3582472.99295348
92,27,42.14154145,0,92,0.042141541,463619.423216674,3582607.86571933
93,27,57.1469536,1,95,0.057146954,464137.829054541,3582603.12428005
94,27,46.61495182,0,51,0.046614952,464729.656021915,3582635.10792461
95,27,35.39733766,0,52,0.035397338,465007.462331140,3582686.82743956
96,27,74.63723585,1,126,0.074637236,467763.199111444,3582872.13029095
97,27,47.7127323,1,50,0.047712732,464572.988111741,3582884.96007308
98,27,39.18596112,0,127,0.039185961,467257.650412205,3582865.79613980
99,27,96.77424966,1,128,0.09677425,466898.966979784,3582911.31543817
100,27,51.70252741,1,91,0.051702527,463759.969595722,3582932.34774451
101,27,50.42285974,1,49,0.05042286,464846.242542184,3583128.61374137
102,27,79.78017536,0,125,0.079780175,467551.207755031,3583086.71097721
103,27,104.9514298,1,48,0.10495143,465160.389098576,3583183.37339076
104,27,22.47770027,0,47,0.0224777,465094.119057197,3583391.69529754
105,27,66.24706816,0,124,0.066247068,467412.402316418,3583334.18407348
106,27,22.56076242,1,29,0.022560762,464363.475045095,3583445.61062414
107,27,25.34214828,0,46,0.025342148,465300.618071790,3583479.49039545
108,27,20.28660349,1,120,0.020286603,466280.922622917,3583484.84128728
109,27,58.86704974,0,123,0.05886705,467133.112690082,3583435.76793002
112,27,41.83580189,0,30,0.041835802,464711.321627226,3583565.42215657
114,27,39.90035381,1,45,0.039900354,465309.800125833,3583641.00589094
115,27,92.87424644,1,121,0.092874246,466487.753234826,3583448.71436553
116,27,14.24898917,0,122,0.014248989,466760.118111786,3583653.57328555
119,27,32.95692932,1,117,0.032956929,465884.449341317,3583717.15648678
120,27,45.52183634,0,44,0.045521836,465292.534077985,3583788.33817891
121,27,38.93486333,0,118,0.038934863,466149.160809172,3583749.16539078
122,27,6.578525543,0,43,0.006578526,465495.187530767,3583863.70890804
123,27,65.5908601,1,28,0.06559086,464503.302470384,3583766.03675733
124,27,74.78612478,1,119,0.074786125,466467.626902656,3583787.04381518
127,27,48.07984,0,25,0.04807984,463726.405533818,3583840.41187492
130,27,34.85622371,0,42,0.034856224,465278.217523910,3583947.86160020
131,27,42.44394468,0,26,0.042443945,464127.501126109,3583942.71342256
132,27,31.64799203,1,41,0.031647992,465453.775680161,3584063.99047917
133,27,42.6860736,0,27,0.042686074,464417.943043141,3584089.29107083
134,27,67.93123744,1,33,0.067931237,464986.946336162,3584082.41156978
135,27,24.87738404,1,39,0.024877384,465249.968160895,3584145.53345013
138,27,32.06251902,0,40,0.032062519,465422.246548085,3584269.36519291
139,27,76.2311229,1,23,0.076231123,464101.060293937,3584185.96366358
140,27,43.57946015,1,22,0.04357946,464379.696314420,3584338.74201195
141,27,12.67587423,0,38,0.012675874,465481.926894373,3584454.44869888
142,27,31.42668563,0,36,0.031426686,465167.657573991,3584385.50409947
143,27,42.91740975,1,32,0.04291741,464946.361706126,3584400.68933763
144,27,36.02690739,0,37,0.036026907,465329.827508396,3584451.34907987
145,27,49.09116456,1,16,0.049091165,463717.755605850,3584430.92310259
146,27,36.48574112,1,21,0.036485741,464493.290247157,3584484.55480960
147,27,18.12320918,0,35,0.018123209,465464.299586391,3584618.87928054
148,27,12.87505792,0,34,0.012875058,465340.023473611,3584672.78320102
149,27,45.95933158,1,17,0.045959332,463861.392242659,3584657.32393547
150,27,27.60089607,0,31,0.027600896,464950.583967545,3584665.79236056
151,27,39.7790763,0,19,0.039779076,464510.297822883,3584667.81465911
152,27,39.9586386,0,20,0.039958639,464723.904151697,3584737.28092142
153,27,67.15995216,1,18,0.067159952,464174.341631163,3584730.70061574
154,27,37.48529909,0,15,0.037485299,464486.375274143,3584844.56793800
155,27,19.58151768,0,14,0.019581518,464397.466930168,3584975.24533194
156,27,59.20207391,0,142,0.059202074,464875.027780531,3584916.17675235
