OBJECTID,FarmNum,PondArea,PresAbs,PondNum,PondRoost_Dist,ShapeArea,PondLong,PondLat
40,27,38202.90807,1,90,27.93046755,0.038202908,464412.5923,3580417.604
41,27,43533.01976,1,89,28.07236804,0.04353302,464316.8037,3580535.995
42,27,63169.56422,0,108,27.47615283,0.063169564,464976.2087,3580564.758
43,27,67644.83973,1,107,27.67373476,0.06764484,464782.3622,3580550
44,27,40312.59819,1,88,28.18364321,0.040312598,464263.6004,3580706.779
45,27,87165.32192,1,109,27.15298747,0.087165322,465264.7371,3580671.067
46,27,60077.28668,0,106,27.93858661,0.060077287,464558.1937,3580768.336
47,27,37745.9255,0,87,28.32288815,0.037745926,464172.3075,3580887.43
48,27,38902.37369,1,110,27.24688016,0.038902374,465277.6509,3580940.716
49,27,16907.03545,0,85,28.64798903,0.016907035,463899.3936,3580990.775
50,27,41420.61712,1,105,28.10418071,0.041420617,464429.0697,3581025.481
51,27,65524.16646,1,86,28.46338042,0.065524166,464050.4072,3581102.302
52,27,61777.68255,0,112,27.61023345,0.061777683,464961.1825,3581168.794
53,27,66465.62847,0,104,27.99209259,0.066465628,464593.9656,3581206.149
54,27,41803.23967,0,111,27.43947206,0.04180324,465184.9359,3581188.756
55,27,44325.48175,1,103,28.29327814,0.044325482,464287.1268,3581242.771
56,27,25091.45986,0,101,28.25575848,0.02509146,464412.2653,3581383.752
57,27,47029.4063,1,68,26.6991892,0.047029406,465990.7761,3581381.068
58,27,59485.45412,1,84,28.66554861,0.059485454,463923.706,3581380.141
59,27,50015.41694,0,102,28.01350271,0.050015417,464672.3196,3581467.085
60,27,26272.91613,0,64,27.24407079,0.026272916,465520.5516,3581533.125
61,27,39919.03829,0,67,26.61233402,0.039919038,466165.7552,3581525.566
62,27,27945.27749,0,66,26.85201816,0.027945277,465958.1864,3581585.874
63,27,53147.67072,0,100,28.49992383,0.053147671,464159.7457,3581505.982
64,27,13807.10024,0,63,27.47068989,0.0138071,465361.6606,3581664.296
65,27,21816.33805,0,61,26.87123191,0.021816338,465952.884,3581708.561
66,27,48055.16165,0,65,27.10345436,0.048055162,465613.7337,3581667.102
67,27,50440.85644,1,83,28.86895594,0.050440856,463811.4177,3581645.127
68,27,49018.04748,0,116,28.46170267,0.049018047,464270.4383,3581685.357
69,27,34543.41698,0,60,27.11340415,0.034543417,465701.4774,3581787.04
70,27,37203.46644,0,99,28.7093227,0.037203466,464010.7775,3581764.625
