OBJECTID,FarmNum,PresAbs,PondNum,PondRoost_Dist,PondArea,PondLong,PondLat,PondRoost_Dist
40,27,1,90,27930.46755,38202.90807,464412.592253599,3580417.60415537,27930.46755
41,27,1,89,28072.36804,43533.01976,464316.803737153,3580535.99513693,28072.36804
42,27,0,108,27476.15283,63169.56422,464976.208661448,3580564.75797123,27476.15283
43,27,1,107,27673.73476,67644.83973,464782.362225745,3580549.99980485,27673.73476
44,27,1,88,28183.64321,40312.59819,464263.600422877,3580706.77853622,28183.64321
45,27,1,109,27152.98747,87165.32192,465264.737067270,3580671.06712839,27152.98747
46,27,0,106,27938.58661,60077.28668,464558.193748961,3580768.33642169,27938.58661
47,27,0,87,28322.88815,37745.9255,464172.307458814,3580887.43027492,28322.88815
48,27,1,110,27246.88016,38902.37369,465277.650861531,3580940.71553356,27246.88016
49,27,0,85,28647.98903,16907.03545,463899.393597385,3580990.77452757,28647.98903
50,27,1,105,28104.18071,41420.61712,464429.069674796,3581025.48127505,28104.18071
51,27,1,86,28463.38042,65524.16646,464050.407224049,3581102.30208489,28463.38042
52,27,0,112,27610.23345,61777.68255,464961.182496455,3581168.79356663,27610.23345
53,27,0,104,27992.09259,66465.62847,464593.965634198,3581206.14932106,27992.09259
54,27,0,111,27439.47206,41803.23967,465184.935938087,3581188.75582508,27439.47206
55,27,1,103,28293.27814,44325.48175,464287.126823527,3581242.77063962,28293.27814
56,27,0,101,28255.75848,25091.45986,464412.265339130,3581383.75154145,28255.75848
57,27,1,68,26699.1892,47029.4063,465990.776086508,3581381.06786789,26699.1892
58,27,1,84,28665.54861,59485.45412,463923.706045964,3581380.14114970,28665.54861
59,27,0,102,28013.50271,50015.41694,464672.319643050,3581467.08462090,28013.50271
60,27,0,64,27244.07079,26272.91613,465520.551564296,3581533.12472557,27244.07079
61,27,0,67,26612.33402,39919.03829,466165.755164588,3581525.56633002,26612.33402
62,27,0,66,26852.01816,27945.27749,465958.186366380,3581585.87398039,26852.01816
63,27,0,100,28499.92383,53147.67072,464159.745717062,3581505.98208013,28499.92383
64,27,0,63,27470.68989,13807.10024,465361.660644504,3581664.29648316,27470.68989
65,27,0,61,26871.23191,21816.33805,465952.884030071,3581708.56100319,26871.23191
66,27,0,65,27103.45436,48055.16165,465613.733702270,3581667.10239028,27103.45436
67,27,1,83,28868.95594,50440.85644,463811.417707496,3581645.12711736,28868.95594
